bioguide_id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,full_state,state,district,geoid,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,wikipedia_id
A000055,Aderholt,Robert,B.,,,Robert B. Aderholt,7/22/65,M,Alabama,AL,4,0104,Republican,https://aderholt.house.gov,1203 Longworth House Office Building; Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,Robert Aderholt
B001274,Brooks,Missouri,,,,Mo Brooks,4/29/54,M,Alabama,AL,5,0105,Republican,https://brooks.house.gov,2246 Rayburn House Office Building; Washington DC 20515-0105,202-225-4801,,http://brooks.house.gov/rss/press-releases.xml,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,Mo Brooks
R000591,Roby,Martha,,,,Martha Roby,7/27/76,F,Alabama,AL,2,0102,Republican,https://roby.house.gov,504 Cannon House Office Building; Washington DC 20515-0102,202-225-2901,,http://roby.house.gov/rss.xml,RepMarthaRoby,Representative.Martha.Roby,reproby,UCeAWQdcSTlwv2vDGz0TQOxQ,Martha Roby
R000575,Rogers,Mike,,,,Mike Rogers,7/16/58,M,Alabama,AL,3,0103,Republican,https://mikerogers.house.gov,2184 Rayburn House Office Building; Washington DC 20515-0103,202-225-3261,,http://mikerogers.house.gov/rss.xml,RepMikeRogersAL,CongressmanMikeDRogers,MikeRogersAL03,UCH-WUWuY0_dlKwJDSqKTJsg,Mike Rogers (Alabama politician)
S001185,Sewell,Terri,A.,,,Terri A. Sewell,1/1/65,F,Alabama,AL,7,0107,Democrat,https://sewell.house.gov,2201 Rayburn House Office Building; Washington DC 20515-0107,202-225-2665,,http://sewell.house.gov/rss.xml,RepTerriSewell,RepSewell,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q,Terri Sewell
B001289,Byrne,Bradley,,,,Bradley Byrne,2/16/55,M,Alabama,AL,1,0101,Republican,https://byrne.house.gov,119 Cannon House Office Building; Washington DC 20515-0101,202-225-4931,,,RepByrne,RepByrne,,UCRUXmqQbrKo0T6xi_GT7TEA,Bradley Byrne
P000609,Palmer,Gary,,,,Gary J. Palmer,5/14/54,M,Alabama,AL,6,0106,Republican,https://palmer.house.gov,207 Cannon House Office Building; Washington DC 20515-0106,202-225-4921,,,USRepGaryPalmer,CongressmanGaryPalmer,,UCYZfP-cNIvlJY3AcAc9OPpQ,Gary Palmer (politician)
Y000033,Young,Don,E.,,,Don Young,6/9/33,M,Alaska,AK,0,0200,Republican,https://donyoung.house.gov,2314 Rayburn House Office Building; Washington DC 20515-0200,202-225-5765,,http://donyoung.house.gov/news/rss.aspx,RepDonYoung,RepDonYoung,RepDonYoung,UCg5ZIR5-82EbJiNeI1bqT-A,Don Young
G000565,Gosar,Paul,A.,,,Paul A. Gosar,11/22/58,M,Arizona,AZ,4,0404,Republican,https://gosar.house.gov,2057 Rayburn House Office Building; Washington DC 20515-0304,202-225-2315,,http://gosar.house.gov/rss.xml,RepGosar,repgosar,repgosar,UC5orqw_9acsKWSRbrqTDXBw,Paul Gosar
G000551,Grijalva,Raúl,M.,,,Ra�l M. Grijalva,2/19/48,M,Arizona,AZ,3,0403,Democrat,https://grijalva.house.gov,1511 Longworth House Office Building; Washington DC 20515-0303,202-225-2435,,http://grijalva.house.gov/common/rss/?rss=13,RepraulGrijalva,Rep.Grijalva,raulgrijalvaaz07,UC8JZLnXS21bhNbcvpoM8O7g,Raúl Grijalva
S001183,Schweikert,David,,,,David Schweikert,3/3/62,M,Arizona,AZ,6,0406,Republican,https://schweikert.house.gov,1526 Longworth House Office Building; Washington DC 20515-0306,202-225-2190,,http://schweikert.house.gov/rss/press-releases.xml,RepDavid,repdavidschweikert,RepDavidSchweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw,David Schweikert
G000574,Gallego,Ruben,,,,Ruben Gallego,11/20/79,M,Arizona,AZ,7,0407,Democrat,https://rubengallego.house.gov,1131 Longworth House Office Building; Washington DC 20515-0307,202-225-4065,,,RepRubenGallego,RepRubenGallego,,,Ruben Gallego
O000171,O’Halleran,Tom,,,,Tom O'Halleran,1/24/46,M,Arizona,AZ,1,0401,Democrat,https://ohalleran.house.gov,324 Cannon House Office Building; Washington DC 20515-0301,202-225-3361,,,repohalleran,repohalleran,,,Tom O'Halleran
B001302,Biggs,Andy,,,,Andy Biggs,11/7/58,M,Arizona,AZ,5,0405,Republican,https://biggs.house.gov,1318 Longworth House Office Building; Washington DC 20515-0305,202-225-2635,,,RepAndyBiggsAZ,RepAndyBiggs,,UCqSq9kWOxk9yNTeILBCVC1w,Andy Biggs
L000589,Lesko,Debbie,,,,Debbie Lesko,11/14/58,F,Arizona,AZ,8,0408,Republican,https://lesko.house.gov,1113 Longworth House Office Building; Washington DC 20515-0308,202-225-4576,,,RepDLesko,RepDebbieLesko,,,Debbie Lesko
K000368,Kirkpatrick,Ann,,,,Ann Kirkpatrick,3/24/50,F,Arizona,AZ,2,0402,Democrat,https://kirkpatrick.house.gov,309 Cannon House Office Building; Washington DC 20515-0302,202-225-2542,,http://kirkpatrick.house.gov/rss.xml,RepKirkpatrick,,,,Ann Kirkpatrick
S001211,Stanton,Greg,,,,Greg Stanton,3/8/70,M,Arizona,AZ,9,0409,Democrat,https://stanton.house.gov,128 Cannon House Office Building; Washington DC 20515-0309,202-225-9888,,,RepGregStanton,,,,Greg Stanton
C001087,Crawford,Eric,A.,,Rick,"Eric A. ""Rick"" Crawford",1/22/66,M,Arkansas,AR,1,0501,Republican,https://crawford.house.gov,2422 Rayburn House Office Building; Washington DC 20515-0401,202-225-4076,,http://crawford.house.gov/news/rss.aspx,RepRickCrawford,RepRickCrawford,RepRickCrawford,UCLKAkVl4BHRK73lmDiIgPYg,Rick Crawford (politician)
W000809,Womack,Steve,,,,Steve Womack,2/18/57,M,Arkansas,AR,3,0503,Republican,https://womack.house.gov,2412 Rayburn House Office Building; Washington DC 20515-0403,202-225-4301,,http://womack.house.gov/news/rss.aspx,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,Steve Womack
H001072,Hill,French,,,,J. French Hill,12/5/56,M,Arkansas,AR,2,0502,Republican,https://hill.house.gov,1533 Longworth House Office Building; Washington DC 20515-0402,202-225-2506,,,RepFrenchHill,RepFrenchHill,,UCT8uWroJtkwSsCJlVg0IKvQ,French Hill (politician)
W000821,Westerman,Bruce,,,,Bruce Westerman,11/18/67,M,Arkansas,AR,4,0504,Republican,https://westerman.house.gov,209 Cannon House Office Building; Washington DC 20515-0404,202-225-3772,,,RepWesterman,RepWesterman,,UCNshPbmupCwP5a7Hi79jETQ,Bruce Westerman
B001270,Bass,Karen,,,,Karen Bass,10/3/53,F,California,CA,37,0637,Democrat,https://bass.house.gov,2059 Rayburn House Office Building; Washington DC 20515-0537,202-225-7084,,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,Karen Bass
C000059,Calvert,Ken,S.,,,Ken Calvert,6/8/53,M,California,CA,42,0642,Republican,https://calvert.house.gov,2205 Rayburn House Office Building; Washington DC 20515-0542,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,Ken Calvert
C001080,Chu,Judy,M.,,,Judy Chu,7/7/53,F,California,CA,27,0627,Democrat,https://chu.house.gov,2423 Rayburn House Office Building; Washington DC 20515-0527,202-225-5464,,http://chu.house.gov/rss.xml,RepJudyChu,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,Judy Chu
C001059,Costa,Jim,,,,Jim Costa,4/13/52,M,California,CA,16,0616,Democrat,https://costa.house.gov,2081 Rayburn House Office Building; Washington DC 20515-0516,202-225-3341,,http://costa.house.gov/index.php?format=feed&amp;type=rss,RepJimCosta,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA,Jim Costa
